Unnamed: 0,glcm_count,glcm_mean,ss_count,ss_mean,ss_std,substrate
0,9638,9.62196838037,9638,13.5781890369,3.82782328191,gravel
1,1298,16.6693892045,1298,17.1035983845,3.81524519747,boulders
2,16810,5.31273934786,16810,12.8588172963,3.79212165481,sand
3,2074,18.3348714742,2074,16.3492534053,3.26443535178,gravel
4,59523,5.02316068999,59523,14.1024635435,3.728196559,sand
5,5709,11.3899900377,5709,17.430889002,3.06360908419,gravel
6,6346,,6344,15.980268019,3.73272179403,boulders
7,4280,9.09000255549,4280,14.5579713055,3.77922823837,gravel
8,12059,,12037,11.1870949988,2.62024744138,sand
9,4425,5.52947651836,4425,5.63126588983,1.61131247879,sand
10,11305,,11298,13.6476630266,3.79148240562,boulders
11,10298,4.4811352174,10298,9.17605891314,1.92487706447,sand
12,4498,,4497,16.4653814348,2.80380484525,boulders
13,18151,7.76524451132,18151,8.94519499614,2.24692069785,sand
14,14397,4.3920765828,14397,7.29417478468,1.87035939411,sand
15,6543,7.94105699794,6543,10.3064797302,2.5050303777,gravel
16,6268,13.3064374601,6268,12.6653213744,2.60850027636,gravel
17,4413,10.1173795816,4413,14.0798439978,2.80837988495,sand
18,15013,4.95704972357,15013,9.62517276694,2.43889609289,sand
19,2971,3.93219250936,2971,7.08895757952,1.40716398082,sand
20,11784,3.59106163548,11784,9.98966686821,1.83102560104,sand
21,6796,4.61206442668,6796,8.75546162265,1.50397713669,sand
22,2799,12.8029402242,2799,9.92694935691,2.45862397686,gravel
23,1402,9.16009147089,1402,10.9828815977,2.2346952145,gravel
24,2626,6.47649481745,2626,9.44110948805,1.89292649009,sand
25,8091,7.69315636201,8091,9.54322511123,2.05687323994,sand
26,4439,10.8659124028,4439,14.8108614694,3.25154001368,boulders
27,10119,8.06282503829,10119,11.2112440088,1.90313472644,sand
28,10963,6.47720457448,10963,8.38464180653,2.14532526663,sand
29,11855,4.75105440742,11855,9.64811985976,2.25183414101,sand
30,12065,11.2424096042,12065,17.2612373083,3.6340055265,boulders
31,5438,7.20717491495,5438,12.7132806753,2.55788258314,sand
32,9276,6.10894883301,9276,15.2316411303,2.77236315561,sand
33,2894,3.9900589042,2894,9.06211666379,1.97590682721,sand
34,2106,10.3898200083,2106,9.45316024157,1.92752807777,sand
35,8347,6.67066760513,8347,14.0902335794,3.03039931036,gravel
36,5809,10.870299589,5809,15.2010175482,2.97036148401,gravel
37,5266,,5248,14.2654463605,2.6426773937,gravel
38,1967,9.2894199606,1967,14.0985677745,2.51774481772,gravel
39,3133,6.21962525934,3133,11.5362833646,2.04514501261,sand
40,2245,8.68526238864,2245,14.0545004524,2.44711355865,sand
41,1634,11.1959974086,1634,17.005543815,3.07511690035,boulders
42,1288,14.5858298355,1288,15.256029212,2.84694497932,boulders
43,13255,4.59208435496,13255,9.30325113165,1.8451255466,sand
44,9458,6.41290607158,9458,14.8330579932,2.83658233009,sand
45,5574,6.9782177857,5574,14.6381946313,2.83386576638,sand
46,3858,7.0774850959,3858,15.7521120885,2.53320176003,sand
47,7010,5.67174906384,7010,10.0767976551,2.18742536045,sand
48,6674,4.53927408366,6674,8.87443811807,1.75097825399,sand
49,13913,9.20263198088,13913,14.5005312028,3.48720254722,gravel
50,3401,5.72879989341,3401,9.79583899956,1.83333112323,sand
51,6224,9.12486255322,6224,14.7853470437,3.39535540162,gravel
52,790,8.44350462322,790,10.3621742731,2.39414827346,gravel
53,3227,6.10384729916,3227,11.8163650934,2.08122178268,sand
54,1655,10.0517595827,1655,16.1625023603,2.61878411387,gravel
55,656,12.2279149497,656,11.5912847752,2.54157576716,gravel
56,732,12.099989594,732,9.44326598788,2.30921072236,sand
0,14639,12.6775618639,14639,10.735510665,4.4341371008,boulders
1,2787,14.1299224076,2787,8.72654778323,3.68546536553,boulders
2,6703,6.45963677644,6703,12.1693504774,2.15469084502,sand
3,5204,4.9273087709,5204,7.04552162399,2.51737214555,sand
4,4314,7.11766378361,4314,10.7485041435,2.05968647659,gravel
5,4160,5.52516432542,4160,9.78129788912,2.02702987093,sand
6,13541,13.8397182631,13541,6.49902841371,3.3107736161,boulders
7,2049,7.815783328,2049,10.4144104212,1.97871615898,sand
8,3252,12.698010359,3252,5.98533174297,2.73864009088,gravel
