Unnamed: 0,glcm_count,glcm_mean,ss_count,ss_mean,ss_std,substrate
0,9638,-0.0394127713766,9638,13.5781890369,3.82782328191,gravel
1,1298,-0.00240335626117,1298,17.1035983845,3.81524519747,boulders
2,16810,-0.013719782696,16810,12.8588172963,3.79212165481,sand
3,2074,-0.0426862527227,2074,16.3492534053,3.26443535178,gravel
4,59523,-0.0323873049205,59523,14.1024635435,3.728196559,sand
5,5709,-0.0312918180091,5709,17.430889002,3.06360908419,gravel
6,6346,,6344,15.980268019,3.73272179403,boulders
7,4280,-0.0401806091594,4280,14.5579713055,3.77922823837,gravel
8,12059,,12037,11.1870949988,2.62024744138,sand
9,4425,-0.0478725075587,4425,5.63126588983,1.61131247879,sand
10,11305,,11298,13.6476630266,3.79148240562,boulders
11,10298,-0.0164087932303,10298,9.17605891314,1.92487706447,sand
12,4498,,4497,16.4653814348,2.80380484525,boulders
13,18151,-0.0606481037116,18151,8.94519499614,2.24692069785,sand
14,14397,-0.00736109813137,14397,7.29417478468,1.87035939411,sand
15,6543,-0.0504172125596,6543,10.3064797302,2.5050303777,gravel
16,6268,-0.080572073522,6268,12.6653213744,2.60850027636,gravel
17,4413,-0.0431454656563,4413,14.0798439978,2.80837988495,sand
18,15013,-0.0207759923496,15013,9.62517276694,2.43889609289,sand
19,2971,-0.0201125733983,2971,7.08895757952,1.40716398082,sand
20,11784,-0.0159835349275,11784,9.98966686821,1.83102560104,sand
21,6796,-0.0302680870447,6796,8.75546162265,1.50397713669,sand
22,2799,-0.0752693440668,2799,9.92694935691,2.45862397686,gravel
23,1402,-0.0814393733265,1402,10.9828815977,2.2346952145,gravel
24,2626,0.0106972122773,2626,9.44110948805,1.89292649009,sand
25,8091,-0.0698448806327,8091,9.54322511123,2.05687323994,sand
26,4439,-0.0913090131175,4439,14.8108614694,3.25154001368,boulders
27,10119,-0.0669961177804,10119,11.2112440088,1.90313472644,sand
28,10963,-0.0698162796701,10963,8.38464180653,2.14532526663,sand
29,11855,-0.0245214107518,11855,9.64811985976,2.25183414101,sand
30,12065,-0.0571297460209,12065,17.2612373083,3.6340055265,boulders
31,5438,-0.0585601402583,5438,12.7132806753,2.55788258314,sand
32,9276,-0.035642748097,9276,15.2316411303,2.77236315561,sand
33,2894,-0.0322304589219,2894,9.06211666379,1.97590682721,sand
34,2106,-0.135032747999,2106,9.45316024157,1.92752807777,sand
35,8347,-0.0247212509716,8347,14.0902335794,3.03039931036,gravel
36,5809,-0.0465022904837,5809,15.2010175482,2.97036148401,gravel
37,5266,,5248,14.2654463605,2.6426773937,gravel
38,1967,-0.0520305391126,1967,14.0985677745,2.51774481772,gravel
39,3133,-0.0012416894391,3133,11.5362833646,2.04514501261,sand
40,2245,-0.0638808082632,2245,14.0545004524,2.44711355865,sand
41,1634,-0.0848691886612,1634,17.005543815,3.07511690035,boulders
42,1288,-0.0030096480565,1288,15.256029212,2.84694497932,boulders
43,13255,-0.0385058114862,13255,9.30325113165,1.8451255466,sand
44,9458,0.00213289149948,9458,14.8330579932,2.83658233009,sand
45,5574,-0.00303249201725,5574,14.6381946313,2.83386576638,sand
46,3858,-0.0149602716979,3858,15.7521120885,2.53320176003,sand
47,7010,-0.0342466389742,7010,10.0767976551,2.18742536045,sand
48,6674,-0.0175715690249,6674,8.87443811807,1.75097825399,sand
49,13913,-0.00709180873722,13913,14.5005312028,3.48720254722,gravel
50,3401,-0.0270361985855,3401,9.79583899956,1.83333112323,sand
51,6224,0.00027670590614,6224,14.7853470437,3.39535540162,gravel
52,790,-0.00747099526321,790,10.3621742731,2.39414827346,gravel
53,3227,-0.0228007257188,3227,11.8163650934,2.08122178268,sand
54,1655,-0.0620210584197,1655,16.1625023603,2.61878411387,gravel
55,656,-0.0444499632207,656,11.5912847752,2.54157576716,gravel
56,732,-0.0874313865203,732,9.44326598788,2.30921072236,sand
0,14639,-0.0119397799022,14639,10.735510665,4.4341371008,boulders
1,2787,-0.0458008978672,2787,8.72654778323,3.68546536553,boulders
2,6703,0.0140592941291,6703,12.1693504774,2.15469084502,sand
3,5204,0.0462915594994,5204,7.04552162399,2.51737214555,sand
4,4314,-0.00441262718699,4314,10.7485041435,2.05968647659,gravel
5,4160,-0.000208647434528,4160,9.78129788912,2.02702987093,sand
6,13541,-0.0591396768163,13541,6.49902841371,3.3107736161,boulders
7,2049,0.0123869941082,2049,10.4144104212,1.97871615898,sand
8,3252,-0.0408235106521,3252,5.98533174297,2.73864009088,gravel
9,1949,-0.0448845305034,1949,9.69601398153,2.02868048989,sand
10,7415,-0.035262828989,7415,9.53745153405,1.78873643396,sand
11,6558,0.0192221629616,6558,9.39075127707,2.26238290537,sand
12,4833,,4832,5.18117134145,3.22442291469,gravel
13,2264,-0.00155089642892,2264,10.6589122543,2.49712818849,gravel
14,1749,-0.115706856555,1749,3.96413156849,2.38404188876,gravel
15,800,-0.00103350162506,800,8.07753417969,2.87836313992,gravel
16,8676,0.0234080605267,8676,10.8146233143,2.1144392883,sand
17,1402,-0.0665761101433,1402,5.61518422343,2.46081584185,gravel
18,1868,0.0393181745705,1868,9.22094569727,1.74819703111,sand
19,15619,-0.00419573225494,15619,10.7102107209,1.82033999211,sand
20,4568,-0.0369384652053,4568,5.32486608609,2.84855888866,sand
21,2899,-0.0179293021616,2899,7.2438677669,2.28377877239,sand
22,9446,0.0088582229695,9446,4.77174614255,2.61108900695,sand
23,4659,-0.0424034968546,4659,7.58262569757,2.91241622191,gravel
24,5042,-0.0258769330785,5042,8.05356025015,2.50547213553,gravel
25,2382,0.0329309618843,2382,8.43244089788,2.86905769369,gravel
26,9558,-0.0146712314935,9558,8.12248084066,3.38170359297,gravel
27,7286,-0.0112248833547,7286,8.0489927172,2.64350603624,sand
28,2827,0.0217128682145,2827,7.72935021113,1.82377700065,sand
29,3066,0.0340321634769,3066,5.33903026643,2.09576629422,sand
30,813,-0.022806298982,813,6.01003589137,1.555861368,sand
31,1335,0.084772408589,1335,6.06047738179,1.75581179057,sand
32,4558,-0.0201813085605,4558,9.88583688707,1.88653614133,sand
33,2392,-0.0469656660405,2392,10.7087508492,1.66633966442,sand
34,5080,-0.00530156338309,5080,8.04575003076,2.40332310614,sand
35,3284,-0.0303566638793,3284,4.31489442182,1.84265422443,sand
36,5164,0.00383341617126,5164,9.79641205945,2.88768610284,gravel
37,1997,-0.0965769256301,1997,4.92915056178,2.22629681014,sand
38,1507,-0.0593487006113,1507,5.78011013707,2.5081504396,sand
39,2575,0.00870821313951,2575,4.50402533374,2.60178243607,sand
40,3858,-0.0135654797512,3858,9.87681846164,2.94911474431,gravel
41,2656,0.0264802553568,2656,10.0968679405,3.01573558442,gravel
42,4311,-0.0186546536284,4311,11.7631667174,2.58798267907,gravel
43,2314,-0.0328939465891,2314,11.4047931747,3.01170954319,sand
44,1158,0.00953133571539,1158,11.7025161242,2.78340351268,gravel
45,1170,-0.127233078133,1170,8.53736311432,2.1714976729,sand
46,1531,-0.0106287320247,1531,11.6264900392,2.20695414784,sand
47,1852,-0.0377731446828,1852,10.6709005467,2.60053510735,sand
48,5775,0.0326751365496,5775,12.8684550866,1.77716051976,sand
49,4731,0.0192392543163,4731,14.8970289051,1.8566222008,sand
50,5893,0.0107181794409,5893,3.5282061344,1.84647839144,sand
51,4421,0.0591531929132,4421,4.507334932,2.43771974908,sand
52,3514,0.0431882785543,3514,5.86339130087,2.11219190351,sand
53,4155,-0.0177188639176,4155,4.49138650722,1.87795995806,sand
54,4177,0.0355151913684,4177,2.12533269055,1.4660046087,sand
55,2763,0.0407522962959,2763,11.3307885451,2.16416039507,sand
56,1803,-0.00364486072305,1803,12.1469837597,2.40362160706,sand
