Unnamed: 0,glcm_count,glcm_mean,ss_count,ss_mean,ss_std,substrate
0,9638,2.4145597991,9638,13.5781890369,3.82782328191,gravel
1,1298,3.21849908814,1298,17.1035983845,3.81524519747,boulders
2,16810,1.79578771007,16810,12.8588172963,3.79212165481,sand
3,2074,3.40039462731,2074,16.3492534053,3.26443535178,gravel
4,59523,1.71666388413,59523,14.1024635435,3.728196559,sand
5,5709,2.64607178632,5709,17.430889002,3.06360908419,gravel
6,6346,,6344,15.980268019,3.73272179403,boulders
7,4280,2.37431937244,4280,14.5579713055,3.77922823837,gravel
8,12059,,12037,11.1870949988,2.62024744138,sand
9,4425,1.75687941384,4425,5.63126588983,1.61131247879,sand
10,11305,,11298,13.6476630266,3.79148240562,boulders
11,10298,1.6144321106,10298,9.17605891314,1.92487706447,sand
12,4498,,4497,16.4653814348,2.80380484525,boulders
13,18151,2.0801135268,18151,8.94519499614,2.24692069785,sand
14,14397,1.57699697094,14397,7.29417478468,1.87035939411,sand
15,6543,2.18483075902,6543,10.3064797302,2.5050303777,gravel
16,6268,2.68256795429,6268,12.6653213744,2.60850027636,gravel
17,4413,2.53697637838,4413,14.0798439978,2.80837988495,sand
18,15013,1.70717890849,15013,9.62517276694,2.43889609289,sand
19,2971,1.48427310354,2971,7.08895757952,1.40716398082,sand
20,11784,1.47366993911,11784,9.98966686821,1.83102560104,sand
21,6796,1.57644030036,6796,8.75546162265,1.50397713669,sand
22,2799,2.68517268305,2799,9.92694935691,2.45862397686,gravel
23,1402,2.32148984291,1402,10.9828815977,2.2346952145,gravel
24,2626,1.95605245621,2626,9.44110948805,1.89292649009,sand
25,8091,2.12187876576,8091,9.54322511123,2.05687323994,sand
26,4439,2.4257869699,4439,14.8108614694,3.25154001368,boulders
27,10119,2.0436412164,10119,11.2112440088,1.90313472644,sand
28,10963,1.87800246425,10963,8.38464180653,2.14532526663,sand
29,11855,1.60098158741,11855,9.64811985976,2.25183414101,sand
30,12065,2.6124655188,12065,17.2612373083,3.6340055265,boulders
31,5438,1.9904940494,5438,12.7132806753,2.55788258314,sand
32,9276,1.93266308889,9276,15.2316411303,2.77236315561,sand
33,2894,1.56317522514,2894,9.06211666379,1.97590682721,sand
34,2106,2.41530847504,2106,9.45316024157,1.92752807777,sand
35,8347,2.02946043489,8347,14.0902335794,3.03039931036,gravel
36,5809,2.60180710293,5809,15.2010175482,2.97036148401,gravel
37,5266,,5248,14.2654463605,2.6426773937,gravel
38,1967,2.3465865988,1967,14.0985677745,2.51774481772,gravel
39,3133,1.89248928992,3133,11.5362833646,2.04514501261,sand
40,2245,2.27589260857,2245,14.0545004524,2.44711355865,sand
41,1634,2.64292237225,1634,17.005543815,3.07511690035,boulders
42,1288,2.98694150937,1288,15.256029212,2.84694497932,boulders
43,13255,1.65432472416,13255,9.30325113165,1.8451255466,sand
44,9458,1.99791223369,9458,14.8330579932,2.83658233009,sand
45,5574,2.09548797991,5574,14.6381946313,2.83386576638,sand
46,3858,2.09938675014,3858,15.7521120885,2.53320176003,sand
47,7010,1.83167113387,7010,10.0767976551,2.18742536045,sand
48,6674,1.63284703233,6674,8.87443811807,1.75097825399,sand
49,13913,2.37325365665,13913,14.5005312028,3.48720254722,gravel
50,3401,1.83931167993,3401,9.79583899956,1.83333112323,sand
51,6224,2.38865743995,6224,14.7853470437,3.39535540162,gravel
52,790,2.20257552907,790,10.3621742731,2.39414827346,gravel
53,3227,1.92516980143,3227,11.8163650934,2.08122178268,sand
54,1655,2.49094452181,1655,16.1625023603,2.61878411387,gravel
55,656,2.79341162705,656,11.5912847752,2.54157576716,gravel
56,732,2.57914692196,732,9.44326598788,2.30921072236,sand
0,14639,2.79203588232,14639,10.735510665,4.4341371008,boulders
1,2787,3.03164770306,2787,8.72654778323,3.68546536553,boulders
2,6703,1.97212608277,6703,12.1693504774,2.15469084502,sand
3,5204,1.73551219615,5204,7.04552162399,2.51737214555,sand
4,4314,2.0933604163,4314,10.7485041435,2.05968647659,gravel
5,4160,1.85159853422,4160,9.78129788912,2.02702987093,sand
6,13541,2.95736386253,13541,6.49902841371,3.3107736161,boulders
7,2049,2.15411957815,2049,10.4144104212,1.97871615898,sand
8,3252,2.83929601015,3252,5.98533174297,2.73864009088,gravel
9,1949,2.22129462425,1949,9.69601398153,2.02868048989,sand
10,7415,1.8095567473,7415,9.53745153405,1.78873643396,sand
11,6558,1.83355580732,6558,9.39075127707,2.26238290537,sand
12,4833,,4832,5.18117134145,3.22442291469,gravel
13,2264,2.4964994289,2264,10.6589122543,2.49712818849,gravel
14,1749,2.97838664505,1749,3.96413156849,2.38404188876,gravel
15,800,2.95900360107,800,8.07753417969,2.87836313992,gravel
16,8676,1.66779428344,8676,10.8146233143,2.1144392883,sand
17,1402,2.63964495475,1402,5.61518422343,2.46081584185,gravel
18,1868,1.71715550555,1868,9.22094569727,1.74819703111,sand
19,15619,1.74749678877,15619,10.7102107209,1.82033999211,sand
20,4568,2.47562377716,4568,5.32486608609,2.84855888866,sand
21,2899,2.1155628153,2899,7.2438677669,2.28377877239,sand
22,9446,1.77023818779,9446,4.77174614255,2.61108900695,sand
23,4659,2.38120124524,4659,7.58262569757,2.91241622191,gravel
24,5042,2.39159536456,5042,8.05356025015,2.50547213553,gravel
25,2382,1.92411982282,2382,8.43244089788,2.86905769369,gravel
26,9558,2.05691853356,9558,8.12248084066,3.38170359297,gravel
27,7286,1.94278705523,7286,8.0489927172,2.64350603624,sand
28,2827,1.77026341279,2827,7.72935021113,1.82377700065,sand
29,3066,1.81831860527,3066,5.33903026643,2.09576629422,sand
30,813,1.70072923874,813,6.01003589137,1.555861368,sand
31,1335,1.69107944903,1335,6.06047738179,1.75581179057,sand
32,4558,1.81314747079,4558,9.88583688707,1.88653614133,sand
33,2392,1.73735898633,2392,10.7087508492,1.66633966442,sand
34,5080,1.73791676919,5080,8.04575003076,2.40332310614,sand
35,3284,1.90906415932,3284,4.31489442182,1.84265422443,sand
36,5164,2.1850672928,5164,9.79641205945,2.88768610284,gravel
37,1997,2.06178897252,1997,4.92915056178,2.22629681014,sand
38,1507,2.50113678485,1507,5.78011013707,2.5081504396,sand
39,2575,2.2892896693,2575,4.50402533374,2.60178243607,sand
40,3858,2.35975038678,3858,9.87681846164,2.94911474431,gravel
41,2656,2.01100618293,2656,10.0968679405,3.01573558442,gravel
42,4311,2.43058183281,4311,11.7631667174,2.58798267907,gravel
43,2314,2.4693252181,2314,11.4047931747,3.01170954319,sand
44,1158,2.55264371829,1158,11.7025161242,2.78340351268,gravel
45,1170,2.33642619858,1170,8.53736311432,2.1714976729,sand
46,1531,2.29793384634,1531,11.6264900392,2.20695414784,sand
47,1852,3.29224687416,1852,10.6709005467,2.60053510735,sand
48,5775,1.61964082792,5775,12.8684550866,1.77716051976,sand
49,4731,1.5474033263,4731,14.8970289051,1.8566222008,sand
50,5893,1.41095002811,5893,3.5282061344,1.84647839144,sand
51,4421,1.61226592099,4421,4.507334932,2.43771974908,sand
52,3514,1.73554720849,3514,5.86339130087,2.11219190351,sand
53,4155,1.79934613794,4155,4.49138650722,1.87795995806,sand
54,4177,1.40355738082,4177,2.12533269055,1.4660046087,sand
55,2763,1.85191824019,2763,11.3307885451,2.16416039507,sand
56,1803,2.31691186347,1803,12.1469837597,2.40362160706,sand
