Unnamed: 0,glcm_count,glcm_mean,ss_count,ss_mean,ss_std,substrate
0,9638,9.23682947707,9638,13.5781890369,3.82782328191,gravel
1,1298,16.1850563367,1298,17.1035983845,3.81524519747,boulders
2,16810,5.28990184414,16810,12.8588172963,3.79212165481,sand
3,2074,18.7611989212,2074,16.3492534053,3.26443535178,gravel
4,59523,4.87910030576,59523,14.1024635435,3.728196559,sand
5,5709,11.4281069364,5709,17.430889002,3.06360908419,gravel
6,6346,,6344,15.980268019,3.73272179403,boulders
7,4280,9.3394640771,4280,14.5579713055,3.77922823837,gravel
8,12059,,12037,11.1870949988,2.62024744138,sand
9,4425,5.32262976695,4425,5.63126588983,1.61131247879,sand
10,11305,,11298,13.6476630266,3.79148240562,boulders
11,10298,4.34058570232,10298,9.17605891314,1.92487706447,sand
12,4498,,4497,16.4653814348,2.80380484525,boulders
13,18151,7.36948721834,18151,8.94519499614,2.24692069785,sand
14,14397,4.48723773833,14397,7.29417478468,1.87035939411,sand
15,6543,8.2172467236,6543,10.3064797302,2.5050303777,gravel
16,6268,10.191287841,6268,12.6653213744,2.60850027636,gravel
17,4413,9.78853493938,4413,14.0798439978,2.80837988495,sand
18,15013,5.08110991308,15013,9.62517276694,2.43889609289,sand
19,2971,4.15203806063,2971,7.08895757952,1.40716398082,sand
20,11784,3.70438929375,11784,9.98966686821,1.83102560104,sand
21,6796,3.67064380702,6796,8.75546162265,1.50397713669,sand
22,2799,12.9178264001,2799,9.92694935691,2.45862397686,gravel
23,1402,8.68436343728,1402,10.9828815977,2.2346952145,gravel
24,2626,6.86000645587,2626,9.44110948805,1.89292649009,sand
25,8091,7.55528760737,8091,9.54322511123,2.05687323994,sand
26,4439,9.84867615172,4439,14.8108614694,3.25154001368,boulders
27,10119,7.68448509611,10119,11.2112440088,1.90313472644,sand
28,10963,6.22810818207,10963,8.38464180653,2.14532526663,sand
29,11855,3.94102995835,11855,9.64811985976,2.25183414101,sand
30,12065,11.2274761707,12065,17.2612373083,3.6340055265,boulders
31,5438,6.08286163341,5438,12.7132806753,2.55788258314,sand
32,9276,6.24632073024,9276,15.2316411303,2.77236315561,sand
33,2894,4.14616717778,2894,9.06211666379,1.97590682721,sand
