Unnamed: 0,glcm_count,glcm_mean,ss_count,ss_mean,ss_std,substrate
0,9638,9.33335494916,9638,13.5781890369,3.82782328191,gravel
1,1298,13.3643345532,1298,17.1035983845,3.81524519747,boulders
2,16810,5.32387855071,16810,12.8588172963,3.79212165481,sand
3,2074,11.2835195426,2074,16.3492534053,3.26443535178,gravel
4,59523,5.20775687549,59523,14.1024635435,3.728196559,sand
5,5709,11.0397316737,5709,17.430889002,3.06360908419,gravel
6,6346,,6344,15.980268019,3.73272179403,boulders
7,4280,15.065335682,4280,14.5579713055,3.77922823837,gravel
8,12059,,12037,11.1870949988,2.62024744138,sand
9,4425,4.66533456921,4425,5.63126588983,1.61131247879,sand
10,11305,,11298,13.6476630266,3.79148240562,boulders
11,10298,5.27162244793,10298,9.17605891314,1.92487706447,sand
12,4498,,4497,16.4653814348,2.80380484525,boulders
13,18151,8.86992107873,18151,8.94519499614,2.24692069785,sand
14,14397,4.16946482991,14397,7.29417478468,1.87035939411,sand
15,6543,7.93405285228,6543,10.3064797302,2.5050303777,gravel
16,6268,21.6323687779,6268,12.6653213744,2.60850027636,gravel
17,4413,9.44956839168,4413,14.0798439978,2.80837988495,sand
18,15013,5.74211360571,15013,9.62517276694,2.43889609289,sand
19,2971,5.04976097063,2971,7.08895757952,1.40716398082,sand
20,11784,4.78894349595,11784,9.98966686821,1.83102560104,sand
21,6796,6.7290191381,6796,8.75546162265,1.50397713669,sand
22,2799,15.8735374241,2799,9.92694935691,2.45862397686,gravel
23,1402,8.20855390736,1402,10.9828815977,2.2346952145,gravel
24,2626,5.6571953244,2626,9.44110948805,1.89292649009,sand
25,8091,8.31705656748,8091,9.54322511123,2.05687323994,sand
26,4439,13.8465061106,4439,14.8108614694,3.25154001368,boulders
27,10119,12.0955566261,10119,11.2112440088,1.90313472644,sand
28,10963,7.47484436286,10963,8.38464180653,2.14532526663,sand
29,11855,6.35625395403,11855,9.64811985976,2.25183414101,sand
30,12065,11.1162945504,12065,17.2612373083,3.6340055265,boulders
31,5438,9.7200472945,5438,12.7132806753,2.55788258314,sand
32,9276,5.62177426962,9276,15.2316411303,2.77236315561,sand
33,2894,4.67807755539,2894,9.06211666379,1.97590682721,sand
34,2106,7.65921956612,2106,9.45316024157,1.92752807777,sand
35,8347,6.06998116838,8347,14.0902335794,3.03039931036,gravel
36,5809,10.3617500861,5809,15.2010175482,2.97036148401,gravel
37,5266,,5248,14.2654463605,2.6426773937,gravel
38,1967,8.47169706406,1967,14.0985677745,2.51774481772,gravel
39,3133,6.47330521365,3133,11.5362833646,2.04514501261,sand
40,2245,10.4235540785,2245,14.0545004524,2.44711355865,sand
41,1634,11.7656142423,1634,17.005543815,3.07511690035,boulders
42,1288,10.4507351514,1288,15.256029212,2.84694497932,boulders
43,13255,4.80464859959,13255,9.30325113165,1.8451255466,sand
44,9458,6.30399529499,9458,14.8330579932,2.83658233009,sand
45,5574,7.33862506167,5574,14.6381946313,2.83386576638,sand
46,3858,7.01156940529,3858,15.7521120885,2.53320176003,sand
47,7010,5.87603367956,7010,10.0767976551,2.18742536045,sand
48,6674,5.11882983406,6674,8.87443811807,1.75097825399,sand
49,13913,9.39567760368,13913,14.5005312028,3.48720254722,gravel
50,3401,6.44637434302,3401,9.79583899956,1.83333112323,sand
51,6224,9.19507149743,6224,14.7853470437,3.39535540162,gravel
52,790,9.04110153778,790,10.3621742731,2.39414827346,gravel
53,3227,8.89140697629,3227,11.8163650934,2.08122178268,sand
54,1655,9.44347030778,1655,16.1625023603,2.61878411387,gravel
55,656,17.5096182474,656,11.5912847752,2.54157576716,gravel
56,732,23.4714982497,732,9.44326598788,2.30921072236,sand
0,14639,12.5343004987,14639,10.735510665,4.4341371008,boulders
1,2787,12.831951359,2787,8.72654778323,3.68546536553,boulders
2,6703,6.87837010947,6703,12.1693504774,2.15469084502,sand
3,5204,4.86152178613,5204,7.04552162399,2.51737214555,sand
4,4314,7.99555951553,4314,10.7485041435,2.05968647659,gravel
5,4160,5.53234769381,4160,9.78129788912,2.02702987093,sand
6,13541,12.8946971236,13541,6.49902841371,3.3107736161,boulders
7,2049,8.22305564452,2049,10.4144104212,1.97871615898,sand
8,3252,11.6126662438,3252,5.98533174297,2.73864009088,gravel
9,1949,8.55982735537,1949,9.69601398153,2.02868048989,sand
10,7415,5.73636526467,7415,9.53745153405,1.78873643396,sand
11,6558,5.41342813644,6558,9.39075127707,2.26238290537,sand
12,4833,,4832,5.18117134145,3.22442291469,gravel
13,2264,10.7110694912,2264,10.6589122543,2.49712818849,gravel
14,1749,12.0566797098,1749,3.96413156849,2.38404188876,gravel
15,800,11.103894043,800,8.07753417969,2.87836313992,gravel
16,8676,5.22493309489,8676,10.8146233143,2.1144392883,sand
17,1402,10.1841537759,1402,5.61518422343,2.46081584185,gravel
18,1868,4.62709166304,1868,9.22094569727,1.74819703111,sand
19,15619,5.48748919585,15619,10.7102107209,1.82033999211,sand
20,4568,7.9217398889,4568,5.32486608609,2.84855888866,sand
21,2899,7.19928881726,2899,7.2438677669,2.28377877239,sand
22,9446,6.6922812897,9446,4.77174614255,2.61108900695,sand
23,4659,8.74882116602,4659,7.58262569757,2.91241622191,gravel
24,5042,8.43345429641,5042,8.05356025015,2.50547213553,gravel
